designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 66510287297153664,66510287297153664,57.588115035101794,23.95476907200127,13.970398373642999,-44.49510894488703,-57.864074920840025,1.0747066,13.20595,2.1362486,-96.91759,VARIABLE,0,true,true,false,true,false,true,true,3756.3179,4.7339,-0.0489,71.8561,0.5046,0.3478,0.2016,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.8776963650886387
Gaia DR3 69822664856030592,69822664856030592,56.352891162760365,25.04378881508233,15.03186852732038,44.99441999398414,-64.49642502792393,1.0045229,16.513233,3.2734556,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.9093935064787916
Gaia DR3 64961556448201856,64961556448201856,56.880921865700394,23.280128069497483,15.159754222684487,153.75835093119295,-96.77758545796861,1.1525114,15.831441,3.0217304,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.9205456517669779
Gaia DR3 66762178537698560,66762178537698560,57.46002693944926,24.763512546221943,10.48555500160664,59.46483076664638,-42.0178526530264,1.0565796,15.0992155,2.6131544,16.86577,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3468.282,4.8365,-0.0956,95.9812,0.7806,0.509,0.3216,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.9355698194797888
Gaia DR3 69835622774091264,69835622774091264,56.31603054681392,25.109949352395176,12.320360088933263,22.251412330293057,-69.03637437342864,1.0870727,14.539795,2.5109959,3.0023713,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3509.2644,4.8022,-0.2109,82.2299,0.6991,0.4613,0.2865,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.9826715691076725
Gaia DR3 66461668267547136,66461668267547136,57.710405660186325,23.874397067352085,12.570564022254928,78.07479467195716,-34.37069334826016,1.0900934,14.246695,2.2876167,4.468833,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3580.657,4.7356,-0.6216,80.3598,0.5898,0.3987,0.2366,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0076129712149373
Gaia DR3 64875450943331200,64875450943331200,56.3430689295303,23.204618165273388,10.927168079281959,-55.64682476844767,-52.674076350239176,1.2158657,8.321405,0.80675983,,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5697.5723,4.1174,-0.1296,90.8729,0.0011,9.0E-4,5.0E-4,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0151780151709393
Gaia DR3 66848249682187648,66848249682187648,56.97626543891673,25.155446358960646,16.516921180882523,212.4330717693982,-69.36649084229651,3.022069,13.226914,2.3605223,21.543802,VARIABLE,1,true,true,false,true,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.01936380440781
Gaia DR3 64875244784904704,64875244784904704,56.354094642145675,23.192292025902784,10.850044015835701,-54.37467000806951,-48.614415527697346,0.95896584,10.457687,1.0541058,-12.845037,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5080.6333,4.5212,0.2402,91.7822,0.0203,0.0163,0.0085,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.024211381795335
Gaia DR3 64953069592851328,64953069592851328,56.69277434968311,23.15141569148149,10.59077280474401,-45.38187573266431,-87.24332009384143,1.1230527,11.201218,1.2479668,-56.269867,NOT_AVAILABLE,0,true,true,false,false,false,true,true,4720.859,4.5514,0.0673,94.1172,0.002,0.0016,8.0E-4,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0269238178473357
Gaia DR3 69849229230450944,69849229230450944,56.60289095634409,25.21175387003805,15.608287439249088,95.43667626485829,-68.21921279731467,0.9500975,9.819366,1.0400219,30.926931,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5050.2334,4.5271,-0.1105,63.9272,3.0E-4,2.0E-4,1.0E-4,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0351267605602252
Gaia DR3 66482352830035840,66482352830035840,57.763720868655575,23.903437182524122,24.576118496058804,152.61762361212004,-48.08908842806767,1.1464577,9.791235,1.3940506,34.27762,VARIABLE,0,true,true,true,true,false,true,true,4455.092,4.5936,0.3835,40.6701,1.0E-4,0.0,0.0,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0460497616884965
Gaia DR3 64930426525307648,64930426525307648,57.38858070702721,23.371659343731526,11.852060226448144,96.95245088376257,-21.415992843390647,1.0118145,15.516936,2.7089348,48.18588,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3392.866,4.9225,-0.2815,86.5188,0.8511,0.5484,0.3503,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0471014972100254
Gaia DR3 64955302975741312,64955302975741312,56.55297221507895,23.128317797691857,12.547508504069521,21.442002000771755,-49.60079989782387,0.95944047,8.549534,0.75051785,-6.1334453,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5877.501,4.1962,-0.1324,79.3881,6.0E-4,5.0E-4,3.0E-4,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0539753838528245
Gaia DR3 66458575888313856,66458575888313856,57.76680114727845,23.848296832294587,12.039269182258959,192.2055146527491,-410.090831252172,1.0958983,20.220394,2.56847,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.064729600220556
Gaia DR3 64933037865353600,64933037865353600,57.11090286985593,23.191425826364775,11.078582774362635,27.711302768709686,-41.87238947446693,1.0804164,15.621692,3.411294,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.069924257304923
Gaia DR3 65154726896576512,65154726896576512,55.551019190837906,23.774586683395334,18.1874597365871,83.74572358565172,-80.01630459534562,1.1728253,12.889624,2.2807312,38.720398,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.0892498033199258
Gaia DR3 64873767315733632,64873767315733632,56.30857186832422,23.122554475817836,11.67071859655081,71.22803955445883,-79.90849673958377,1.0987567,9.604366,0.8743973,13.469104,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5701.218,4.5002,0.1312,85.431,0.1101,0.0918,0.0488,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.102888079502327
