source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,l,b,dist_pc,x_pc,y_pc,z_pc
42017428834393472,51.044334112093736,14.394505410166621,32.72039782318509,71.32682834465281,56.68795981379973,22.541502,12.851945,169.4230871766772,-34.3489499385562,30.56197560322503,-24.80375785206453,4.6315532408655775,-17.244032700192168
43317841853753600,56.09837893905875,16.496199217007245,22.61668743523057,506.5283442298249,-79.0845658542898,166.13217,13.397084,171.91999625638016,-29.484943768848233,44.215139943185285,-38.10653368771222,5.409794960221154,-21.76246330246368
49102063289298944,64.58610989911898,20.36067421559666,27.575481207207222,-53.15571963929708,28.170181259494793,-11.958986,10.005727,174.9604013425965,-20.9883788405443,36.264099708208775,-33.72720112901623,2.974237372234374,-12.98902397039126
50427387118457984,60.065517618885764,19.409999779203414,20.784654277557593,124.05003154447888,-33.15864551058504,40.928368,14.678405,172.58386042734958,-24.7542181294393,48.112419222664606,-43.32599594518651,5.639475163822175,-20.1459494363443
62947354224986240,51.054583587818286,23.771470852232262,48.33611005050289,205.44637008751465,-110.25936438966352,19.015635,10.865924,162.4223069076053,-27.149056492944826,20.68846663405832,-17.549511817948506,5.559513924121357,-9.440290861394619
64743269029603840,56.373931878452964,22.22154073534159,28.688533568557624,-0.5280218412608519,-215.1757608777468,-2.0763702,13.868805,167.69450032669704,-25.152922645019043,34.85713194821471,-30.82695971513351,6.7244639236014985,-14.815525212322648
111106135320354560,50.345974948487324,24.763041344029844,21.06951569586096,-20.502343762401566,-93.292528163785,-5.544092,13.262367,161.16805012341337,-26.760979736431693,47.461935738582106,-40.10987305416648,13.679477889156445,-21.370664760648584
144171233106399104,67.81589657872274,20.132994598786517,21.709497140089493,106.53332318806763,-39.29482776447058,39.57583,8.404495,177.2416365931492,-18.8356641305831,46.06278964211318,-43.54554566818714,2.0980135596293468,-14.871596456904307
144290220880929664,68.1749178660876,20.661590012789095,22.879733392244567,32.901232986801425,-25.959968657864458,16.605337,11.410376,177.03859627275264,-18.239347959997794,43.70680299705613,-41.45542144462679,2.144585161374853,-13.679671617310937
144563621319676672,67.30440720566574,21.186253006669908,23.583508687763775,-138.67311605786088,-271.59160175523544,-22.761911,12.674474,176.06481298011616,-18.52651182801735,42.40251157025022,-40.110284122188304,2.7591932704300612,-13.473119445731422
145218857232329472,69.15895811624549,23.041749426082887,22.479936572382865,103.31470770045601,-51.867027424463636,37.367348,13.074914,175.72917099856556,-16.01818734412376,44.48411127763251,-42.638249435596066,3.1841557721151323,-12.275055732972845
146592838746224384,70.71776953178484,23.339387103784023,18.516267639240418,80.66514329115714,-43.78059898541263,37.49657,13.738723,176.42954297042562,-14.719877768893745,54.00656436185659,-52.13266267442476,3.252922844117048,-13.722717282528953
146654239597547648,69.45888476051654,22.827251032296505,33.63933862619032,-8.129858219285996,-142.46317969653856,33.205227,12.645206,176.08410605272522,-15.94154073547992,29.727100497196982,-28.517135779694982,1.9520508984927107,-8.164739321165312
147232651433766528,70.85359728998459,24.296441017816797,20.516355823228757,91.6557375268811,-52.25943492761425,40.68912,12.903985,175.74090068740264,-14.022464396626724,48.74159956164307,-47.158545327031426,3.512016116545529,-11.810202083919284
3290081906654767616,76.97984040742598,8.401765512814164,18.673583756590272,18.247276255484596,-60.28969786169297,10.910321,9.280826,192.76283832584434,-18.522039469055407,53.55158458252988,-49.523122035201965,-11.217603900612154,-17.011700617966337
3308403897837092992,70.09992853565252,13.979318665904936,21.759915026491484,95.28566036074271,-20.835310650511087,,14.9131975,183.81989665191085,-20.926480919680863,45.956061812858906,-42.82941493573997,-2.8596655923833407,-16.414114240776502
3308501926171656832,72.29440092915024,13.811345343593025,22.131125231488067,88.33667020089916,-22.250997369206093,40.244034,14.280831,185.30490294934035,-19.307230400764855,45.18523073454957,-42.46132568281702,-3.9426829130182517,-14.939750641815314
3310073197007270912,70.68186367252261,16.512802062320905,22.466039341663617,-187.13133497738625,-197.64778092992117,-4.4101157,10.736826,182.02622529920455,-18.953904102665835,44.51162863164245,-42.07189492611907,-1.488463793500295,-14.4577043925475
3310615565476268032,65.22015770420096,13.864370841354328,21.09351261138683,106.88260714504528,-12.399521780388248,,6.0480075,180.75995143918865,-24.73400762286722,47.40794093536483,-43.05494868941764,-0.5710994660475748,-19.835778343249714
3310640648085373824,64.44922468154691,13.661704892347966,21.139233734577182,109.25947233228388,-16.777791608316285,38.33077,11.770583,180.4097725678961,-25.44195797586402,47.30540437538719,-42.71667820869446,-0.3055097865531526,-20.322237812408098
